first_name,second_name,guid
Alex,Pritchard,400
Heung-Min,Son,401
Harry,Kane,402
Clinton,N'Jie,403
Vincent,Janssen,404
Costel,Pantilimon,405
Heurelho,Gomes,406
Craig,Cathcart,407
Sebastian,Prodl,408
Juan Carlos,Paredes,409
Jose,Holebas,410
Allan-Romeo,Nyom,411
Miguel,Britos,412
Christian,Kabasele,413
Adlene,Guedioura,414
Etienne,Capoue,415
Almen,Abdi,416
Ben,Watson,417
Ikechi,Anya,418
Valon,Behrami,419
Steven,Berghuis,420
Nordin,Amrabat,421
Mario,Suarez,422
Isaac,Success,423
Troy,Deeney,424
Odion,Ighalo,425
Mamadou Obbi,Oulare,426
Jerome,Sinclair,427
Boaz,Myhill,428
Ben,Foster,429
Jonny,Evans,430
Jonas,Olsson,431
Craig,Dawson,432
Sebastien,Pocognoli,433
Cristian,Gamboa,434
Gareth,McAuley,435
James,Chester,436
Chris,Brunt,437
Darren,Fletcher,438
Craig,Gardner,439
James,Morrison,440
Claudio,Yacob,441
Callum,McManaman,442
James,McClean,443
Jonathan,Leko,444
Matt,Phillips,445
Rickie,Lambert,446
Saido,Berahino,447
Salomon,Rondon,448
Adrian,San Miguel del Castillo,449
Darren,Randolph,450
James,Collins,451
Winston,Reid,452
Aaron,Cresswell,453
Reece,Oxford,454
Angelo,Ogbonna,455
Sam,Byram,456
Mark,Noble,457
Cheikhou,Kouyate,458
Pedro,Obiang,459
Dimitri,Payet,460
Manuel,Lanzini,461
Josh,Cullen,462
Michail,Antonio,463
Havard,Nordtveit,464
Sofiane,Feghouli,465
Gokhan,Tore,466
Andy,Carroll,467
Enner,Valencia,468
Diafra,Sakho,469
Nick,Pope,470
Paul,Robinson,471
Johann Berg,Gudmundsson,472
Ragnar,Klavan,473
Marko,Grujic,474
Jason,Denayer,475
Antonio,Barragan,476
Alvaro,Negredo,477
Juan,Zuniga,478
Tommie,Hoban,479
Brice,Dja Djedje,480
Abdoulaye,Doucoure,481
Matej,Vydra,482
Rob,Holding,483
Georginio,Wijnaldum,484
Ramadan,Sobhi,485
Ola,Aina,486
Idrissa,Gueye,487
Leroy,Sane,488
Bradley,Guzan,489
Gaston,Ramirez,490
Jeremy,Pied,491
Chuba,Akpom,492
Sullay,Kaikai,493
Mason,Holgate,494
Benjamin,Chilwell,495
Bartosz,Kapustka,496
Jose Angel,Esmoris Tasende,497
Papy,Djilobodji,498
Fernando,Llorente,499
Cameron,Carter-Vickers,500
Daniel,Lafferty,501
Paul,Pogba,502
Jack,Stephens,503
Arthur,Masuaku,504
Donald,Love,505
Borja,Baston,506
Olayinka Fredrick Oladotun,Ladapo,507
Keshi,Anderson,508
Kane,Wilson,509
Sam,Field,510
Tom,Davies,511
Harry,Winks,512
Greg,Olley,513
Josh,Clackstone,514
Jarrod,Bowen,515
Dusan,Kuciak,516
Greg,Luer,517
Josh,Tymon,518
Lynden,Gooch,519
Joel,Asoro,520
Alex,Baptiste,521
Trent,Alexander-Arnold,522
Alexander,Manninger,523
Steven,Defour,524
Jonathan,Calleri,525
Fabio Pereira,da Silva,526
Pablo,Maffeo,527
Luke,McGee,528
Nathaniel,Chalobah,529
Aiden,O'Neill,530
Josh,Robson,531
Steven,Pienaar,532
Reece,Burke,533
Ashley,Fletcher,534
Ryan,Fraser,535
Thomas,Robson,536
Javier,Manquillo,537
Roberto,Pereyra,538
Daryl,Janmaat,539
Claudio,Bravo,540
Edimilson,Fernandes,541
Hiram,Boateng,542
Julien,Ngoy,543
Ben,Hinchcliffe,544
Oliver,McBurnie,545
Maksymilian,Stryjek,546
Jack,Rose,547
Lucas,Perez,548
Simone,Zaza,549
Sofiane,Boufal,550
Stefano,Okaka,551
Patrick,Bamford,552
David,Marshall,553
Shkodran,Mustafi,554
Adrian,Mariappa,555
Will,Keane,556
Alfie,Mawson,557
Didier,Ndong,558
Jeff,Hendrick,559
Marcos,Alonso,560
Bruno,Martins Indi,561
Adama,Traore,562
Pau,Lopez Sabata,563
Georges-Kevin,Nkoudou,564
James,Weir,565
Islam,Slimani,566
Alvaro,Arbeloa,567
Dieumerci,Mbokani,568
David,Luiz Moreira Marinho,569
Hal,Robson-Kanu,570
Moussa,Sissoko,571
Markus,Henriksen,572
Lee,Grant,573
Victor,Anichebe,574
Mathieu,Flamini,575
Michael,Simoes Domingues,576
Aleix,Garcia Serrano,577
Jonathan,Benteke,578
Ezekiel,Fryers,579
Luke,Dreher,580
Oviemuno,Ejaria,581
Ben,Hamer,582
Lloyd,Isgrove,583
Ben,Wynter,584
Jake,Hesketh,585
George,Honeyman,586
Jeff,Reine-Adelaide,587
Olufela,Olomola,588
Dominic,Solanke,589
Raphael,Spiegel,590
Sam,McQueen,591
Ainsley,Maitland-Niles,592
Kevin,Long,593
Dominic,Calvert-Lewin,594
Mateusz,Hewelt,595
Stuart,Taylor,596
Daniel,James,597
Thibaud,Verlinden,598
Ryan,Allsop,599
Alex,Palmer,600
Matthew,James,601
Ben,Woodburn,602
