guid,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,year,now_cost,element_type
153,Alex,Bruce,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2016,,
154,Robert,Snodgrass,7,6,133,2548,56,1050.1,550.2,538.0,16,503,212.3,3,0,2,6.3,2016,,
155,Sam,Clucas,3,1,87,3186,75,344.2,482.2,405.0,4,509,122.5,5,1,9,0.2,2016,,
156,Jake,Livermore,1,1,77,2970,62,323.5,556.4,283.0,2,458,116.5,4,1,5,0.1,2016,,
157,Ahmed,Elmohamady,0,2,62,2523,63,428.6,464.4,108.0,1,428,99.9,3,1,3,0.2,2016,,
158,Mohamed,Diamé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2016,,
159,Tom,Huddlestone,1,2,62,2025,47,300.3,344.4,130.0,5,348,77.6,4,1,5,0.2,2016,,
160,David,Meyler,1,0,33,962,23,123.6,164.6,81.0,0,179,37.1,2,0,2,0.2,2016,,
161,Shaun,Maloney,1,2,24,283,7,70.4,104.6,58.0,2,86,23.4,1,0,0,0.5,2016,,
162,Abel,Hernández,4,4,72,1425,23,190.4,219.4,532.0,6,208,93.6,4,0,0,0.9,2016,,
163,Adama,Diomande,2,0,42,1171,29,195.4,141.0,259.0,2,127,58.7,2,0,1,3.6,2016,,
164,Kasper,Schmeichel,0,0,109,2666,47,0.0,757.4,0.0,10,585,75.8,8,0,1,6.0,2016,,
165,Ron-Robert,Zieler,0,0,17,754,16,0.0,136.0,2.0,0,119,13.9,1,0,0,0.3,2016,,
166,Wes,Morgan,1,1,63,2430,45,48.4,480.0,284.0,0,360,81.4,5,0,3,10.3,2016,,
167,Christian,Fuchs,2,4,104,3103,57,536.4,802.0,152.0,10,679,149.4,8,0,10,5.7,2016,,
168,Jeffrey,Schlupp,0,2,47,1139,17,100.4,214.2,65.0,4,237,38.1,3,0,0,0.3,2016,,
169,Marcin,Wasilewski,0,0,1,90,2,0.3,10.8,0.0,0,10,1.1,0,0,0,1.8,2016,,
170,Ritchie,de Laet,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2016,,
171,Danny,Simpson,0,3,85,2988,50,199.0,531.2,50.0,4,529,77.9,9,0,12,2.1,2016,,
172,Robert,Huth,2,2,88,2926,49,69.4,701.0,477.0,1,479,124.9,9,0,9,1.8,2016,,
173,Yohan,Benalouane,0,0,27,917,15,22.0,158.2,54.0,0,156,23.6,4,0,4,1.0,2016,,
174,Luis,Hernández,0,0,3,327,8,62.0,57.6,0.0,0,50,12.0,0,0,1,0.3,2016,,
175,Riyad,Mahrez,6,4,120,2826,48,802.1,573.0,898.0,9,437,227.8,9,0,4,8.2,2016,,
176,Marc,Albrighton,2,6,95,2412,47,719.8,483.8,272.0,3,468,147.6,8,0,5,2.5,2016,,
177,Andy,King,1,0,41,1446,26,122.7,258.4,167.0,1,217,54.9,1,0,4,0.2,2016,,
178,Daniel,Drinkwater,1,1,69,2466,44,307.1,401.8,213.0,3,384,92.0,8,0,6,3.6,2016,,
179,Gökhan,Inler,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2016,,
180,Demarai,Gray,1,4,58,1049,20,268.8,220.4,233.0,0,210,72.2,4,0,2,0.5,2016,,
181,Daniel,Amartey,1,1,53,1673,35,204.0,254.4,109.0,3,262,57.0,4,0,3,0.2,2016,,
182,Nampalys,Mendy,0,0,6,269,5,24.9,16.8,0.0,0,26,4.0,1,0,1,0.3,2016,,
183,Jamie,Vardy,13,8,161,2801,57,450.4,629.8,955.0,24,555,202.5,7,1,2,13.9,2016,,
184,Leonardo,Ulloa,1,0,24,447,5,55.7,60.8,262.0,1,56,37.4,2,0,0,0.1,2016,,
185,Shinji,Okazaki,3,1,63,1565,26,262.0,181.2,471.0,3,220,90.4,7,0,1,1.6,2016,,
186,Ahmed,Musa,2,0,39,761,20,120.8,132.6,232.0,5,131,47.7,1,0,1,3.0,2016,,
187,Simon,Mignolet,0,0,110,2520,30,0.0,461.2,0.0,7,506,46.0,9,0,0,3.5,2016,,
188,Loris,Karius,0,0,32,900,12,0.0,149.4,0.0,0,153,15.0,3,0,0,0.7,2016,,
189,Mamadou,Sakho,0,0,35,686,6,48.7,143.4,40.0,6,155,23.2,4,0,0,0.6,2016,,
190,Dejan,Lovren,2,1,106,2553,31,119.2,715.4,236.0,6,589,107.1,11,0,6,5.6,2016,,
191,Alberto,Moreno,0,1,15,305,7,78.3,64.6,32.0,1,79,17.5,0,0,1,1.4,2016,,
192,Nathaniel,Clyne,0,2,129,3323,41,716.5,512.0,294.0,13,735,152.4,12,0,0,10.3,2016,,
193,Jon,Flanagan,0,0,9,360,4,16.4,63.8,0.0,0,55,8.0,1,0,2,0.2,2016,,
194,Joseph,Gomez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2016,,
195,Connor,Randall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.7,2016,,
196,Bradley,Smith,0,0,4,269,9,30.3,28.6,27.0,0,35,8.6,0,0,1,2.5,2016,,
197,Kevin,Stewart,0,0,4,20,0,0.4,3.6,0.0,0,12,0.4,0,0,0,0.1,2016,,
198,Joel,Matip,1,0,97,2457,25,143.3,588.6,348.0,7,557,108.0,9,0,3,3.2,2016,,
199,Leiva,Lucas,0,3,47,1112,17,102.9,306.4,99.0,2,240,51.1,4,0,4,0.2,2016,,
200,Jordan,Henderson,1,4,73,2116,28,554.3,507.4,93.0,9,467,115.5,7,0,8,1.0,2016,,
201,Joe,Allen,6,3,118,2930,49,539.8,576.8,675.0,10,525,179.4,10,0,9,6.4,2016,,
202,Philippe,Coutinho,13,8,171,2228,27,1081.8,860.0,1125.0,21,631,306.5,8,0,2,26.0,2016,,
203,Emre,Can,5,2,104,2371,28,544.5,512.2,500.0,12,436,155.3,9,0,6,3.0,2016,,
204,Adam,Lallana,8,7,139,2338,32,693.0,679.4,825.0,14,543,219.5,9,0,3,9.1,2016,,
205,Lazar,Markovic,2,0,37,1005,15,160.3,142.2,185.0,2,125,48.5,5,0,4,0.1,2016,,
206,Oluwaseyi,Ojo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2016,,
207,James,Milner,7,4,139,3154,35,937.0,919.0,493.0,16,682,235.2,12,0,5,4.8,2016,,
208,Roberto,Firmino,11,11,180,3062,39,1127.3,869.6,1569.0,17,639,356.9,11,0,5,8.8,2016,,
209,Cameron,Brannagan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2016,,
