club_reference,href,name_and_surname,position,market_value,date_of_birth,country
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/mason-mount/profil/spieler/346483,Mason Mount,Attacking Midfield,60000000.00,1999-01-10 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/charly-musonda-jr-/profil/spieler/177862,Charly Musonda Jr.,Attacking Midfield,1000000.00,1996-10-15 00:00:00,Belgium
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/callum-hudson-odoi/profil/spieler/392768,Callum Hudson-Odoi,Left Winger,35000000.00,2000-11-07 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/christian-pulisic/profil/spieler/315779,Christian Pulisic,Right Winger,50000000.00,1998-09-18 00:00:00,United States
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/hakim-ziyech/profil/spieler/217111,Hakim Ziyech,Right Winger,40000000.00,1993-03-19 00:00:00,Morocco
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/timo-werner/profil/spieler/170527,Timo Werner,Centre-Forward,65000000.00,1996-03-06 00:00:00,Germany
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/tammy-abraham/profil/spieler/331726,Tammy Abraham,Centre-Forward,40000000.00,1997-10-02 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/olivier-giroud/profil/spieler/82442,Olivier Giroud,Centre-Forward,5000000.00,1986-09-30 00:00:00,France
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/david-de-gea/profil/spieler/59377,David de Gea,Goalkeeper,22000000.00,1990-11-07 00:00:00,Spain
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/dean-henderson/profil/spieler/258919,Dean Henderson,Goalkeeper,20000000.00,1997-03-12 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/sergio-romero/profil/spieler/30690,Sergio Romero,Goalkeeper,1500000.00,1987-02-22 00:00:00,Argentina
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/nathan-bishop/profil/spieler/495033,Nathan Bishop,Goalkeeper,300000,1999-10-15 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/lee-grant/profil/spieler/13460,Lee Grant,Goalkeeper,250000,1983-01-27 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/harry-maguire/profil/spieler/177907,Harry Maguire,Centre-Back,40000000.00,1993-03-05 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/victor-lindelof/profil/spieler/184573,Victor Lindelöf,Centre-Back,24000000.00,1994-07-17 00:00:00,Sweden
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/eric-bailly/profil/spieler/286384,Eric Bailly,Centre-Back,15000000.00,1994-04-12 00:00:00,Cote d'Ivoire
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/axel-tuanzebe/profil/spieler/342046,Axel Tuanzebe,Centre-Back,8000000.00,1997-11-14 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/phil-jones/profil/spieler/117996,Phil Jones,Centre-Back,5000000.00,1992-02-21 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/alex-telles/profil/spieler/255755,Alex Telles,Left-Back,28000000.00,1992-12-15 00:00:00,Brazil
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/luke-shaw/profil/spieler/183288,Luke Shaw,Left-Back,25000000.00,1995-07-12 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/brandon-williams/profil/spieler/507700,Brandon Williams,Left-Back,10000000.00,2000-09-03 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/aaron-wan-bissaka/profil/spieler/477758,Aaron Wan-Bissaka,Right-Back,40000000.00,1997-11-26 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/nemanja-matic/profil/spieler/74683,Nemanja Matic,Defensive Midfield,10000000.00,1988-08-01 00:00:00,Serbia
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/paul-pogba/profil/spieler/122153,Paul Pogba,Central Midfield,60000000.00,1993-03-15 00:00:00,France
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/donny-van-de-beek/profil/spieler/288255,Donny van de Beek,Central Midfield,35000000.00,1997-04-18 00:00:00,Netherlands
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/scott-mctominay/profil/spieler/315969,Scott McTominay,Central Midfield,30000000.00,1996-12-08 00:00:00,Scotland
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/fred/profil/spieler/191614,Fred,Central Midfield,22000000.00,1993-03-05 00:00:00,Brazil
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/ethan-galbraith/profil/spieler/433991,Ethan Galbraith,Central Midfield,900000,2001-05-11 00:00:00,Northern Ireland
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/hannibal-mejbri/profil/spieler/607224,Hannibal Mejbri,Central Midfield,-1,2003-01-21 00:00:00,France
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/bruno-fernandes/profil/spieler/240306,Bruno Fernandes,Attacking Midfield,90000000.00,1994-09-08 00:00:00,Portugal
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/juan-mata/profil/spieler/44068,Juan Mata,Attacking Midfield,6000000.00,1988-04-28 00:00:00,Spain
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/marcus-rashford/profil/spieler/258923,Marcus Rashford,Left Winger,85000000.00,1997-10-31 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/daniel-james/profil/spieler/319301,Daniel James,Left Winger,18000000.00,1997-11-10 00:00:00,Wales
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/anthony-elanga/profil/spieler/583189,Anthony Elanga,Left Winger,-1,2002-04-27 00:00:00,Sweden
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/mason-greenwood/profil/spieler/532826,Mason Greenwood,Right Winger,50000000.00,2001-10-01 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/amad-diallo/profil/spieler/536835,Amad Diallo,Right Winger,15000000.00,2002-07-11 00:00:00,Cote d'Ivoire
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/anthony-martial/profil/spieler/182877,Anthony Martial,Centre-Forward,50000000.00,1995-12-05 00:00:00,France
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/edinson-cavani/profil/spieler/48280,Edinson Cavani,Centre-Forward,7000000.00,1987-02-14 00:00:00,Uruguay
https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/hugo-lloris/profil/spieler/17965,Hugo Lloris,Goalkeeper,9000000.00,1986-12-26 00:00:00,France
https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/joe-hart/profil/spieler/40204,Joe Hart,Goalkeeper,2000000.00,1987-04-19 00:00:00,England
https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/alfie-whiteman/profil/spieler/282823,Alfie Whiteman,Goalkeeper,800000,1998-10-02 00:00:00,England
https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/davinson-sanchez/profil/spieler/341429,Davinson Sánchez,Centre-Back,35000000.00,1996-06-12 00:00:00,Colombia
https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/eric-dier/profil/spieler/175722,Eric Dier,Centre-Back,25000000.00,1994-01-15 00:00:00,England
https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/toby-alderweireld/profil/spieler/42710,Toby Alderweireld,Centre-Back,15000000.00,1989-03-02 00:00:00,Belgium
https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/joe-rodon/profil/spieler/297212,Joe Rodon,Centre-Back,10000000.00,1997-10-22 00:00:00,Wales
https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/japhet-tanganga/profil/spieler/346478,Japhet Tanganga,Centre-Back,8000000.00,1999-03-31 00:00:00,England
https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/sergio-reguilon/profil/spieler/282429,Sergio Reguilón,Left-Back,25000000.00,1996-12-16 00:00:00,Spain
https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/ben-davies/profil/spieler/192765,Ben Davies,Left-Back,16000000.00,1993-04-24 00:00:00,Wales
https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/danny-rose/profil/spieler/50174,Danny Rose,Left-Back,4000000.00,1990-07-02 00:00:00,England
