1107,https://www.transfermarkt.com/matija-sarkic/profil/spieler/293257,100000,Wolverhampton Wanderers,"Jul 30, 2020"
1182,https://www.transfermarkt.com/mikael-mandron/profil/spieler/218144,100000,Wigan Athletic,"Feb 27, 2017"
1382,https://www.transfermarkt.com/philip-billing/profil/spieler/320411,100000,Huddersfield Town,"Apr 20, 2016"
1383,https://www.transfermarkt.com/philip-billing/profil/spieler/320411,100000,Huddersfield Town,"Sep 1, 2016"
1565,https://www.transfermarkt.com/scott-arfield/profil/spieler/55291,100000,Falkirk FC,"Aug 13, 2007"
1589,https://www.transfermarkt.com/scott-malone/profil/spieler/101682,100000,Southend United,"Apr 18, 2010"
1590,https://www.transfermarkt.com/scott-malone/profil/spieler/101682,100000,AFC Bournemouth,"Sep 5, 2011"
1655,https://www.transfermarkt.com/simon-mignolet/profil/spieler/50219,100000,Sint Truidense VV,"Oct 26, 2007"
1759,https://www.transfermarkt.com/stewart-downing/profil/spieler/4063,100000,Middlesbrough FC,"Oct 4, 2004"
1807,https://www.transfermarkt.com/sven-kums/profil/spieler/42735,100000,Lierse SK,"Feb 22, 2007"
1936,https://www.transfermarkt.com/wesley-hoedt/profil/spieler/253765,100000,AZ Alkmaar U21,"Feb 10, 2014"
1992,https://www.transfermarkt.com/yaya-toure/profil/spieler/13091,100000,Qingdao Huanghai,"Dec 27, 2019"
54,https://www.transfermarkt.com/alex-bruce/profil/spieler/37957,125000,Birmingham City,"Jun 14, 2006"
1,https://www.transfermarkt.com/adam-parkes/profil/spieler/412596,150000,Watford FC U23,"Oct 15, 2020"
76,https://www.transfermarkt.com/alex-pritchard/profil/spieler/200777,150000,Swindon Town,"Jul 25, 2013"
429,https://www.transfermarkt.com/dusan-tadic/profil/spieler/36139,150000,FK Vojvodina Novi Sad,"Mar 15, 2007"
621,https://www.transfermarkt.com/ismaila-sarr/profil/spieler/410225,150000,FC Metz,"Aug 8, 2016"
642,https://www.transfermarkt.com/jakob-haugaard/profil/spieler/138335,150000,Akademisk Boldklub,"Dec 29, 2011"
643,https://www.transfermarkt.com/jakob-haugaard/profil/spieler/138335,150000,FC Midtjylland,"Jul 18, 2012"
748,https://www.transfermarkt.com/jonas-lossl/profil/spieler/48870,150000,FC Midtjylland,"Jun 10, 2009"
815,https://www.transfermarkt.com/josh-robson/profil/spieler/357958,150000,Bryne FK,"Dec 31, 2020"
1137,https://www.transfermarkt.com/mesut-ozil/profil/spieler/35664,150000,FC Schalke 04,"Jul 30, 2006"
1205,https://www.transfermarkt.com/molla-wague/profil/spieler/129893,150000,SM Caen,"Aug 8, 2011"
1345,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078,150000,Milan Primavera,"Mar 2, 2015"
1346,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078,150000,Milan Primavera,"Jun 17, 2015"
1713,https://www.transfermarkt.com/steve-mounie/profil/spieler/238639,150000,Montpellier HSC,"Aug 7, 2014"
1714,https://www.transfermarkt.com/steve-mounie/profil/spieler/238639,150000,Montpellier HSC,"Jan 14, 2015"
1715,https://www.transfermarkt.com/steve-mounie/profil/spieler/238639,150000,Montpellier HSC,"Jun 6, 2015"
161,https://www.transfermarkt.com/arouna-kone/profil/spieler/8552,175000,Sivasspor,"Mar 16, 2021"
5,https://www.transfermarkt.com/ales-mateju/profil/spieler/242078,200000,1.FK Pribram,"Sep 3, 2014"
163,https://www.transfermarkt.com/asmir-begovic/profil/spieler/33873,200000,Portsmouth FC,"Jan 29, 2008"
303,https://www.transfermarkt.com/conor-hourihane/profil/spieler/61653,200000,Barnsley FC,"Sep 4, 2014"
533,https://www.transfermarkt.com/francis-coquelin/profil/spieler/74869,200000,Arsenal FC Reserves,"Jul 16, 2010"
614,https://www.transfermarkt.com/harry-burgoyne/profil/spieler/285583,200000,Without Club,"Aug 7, 2019"
817,https://www.transfermarkt.com/josip-drmic/profil/spieler/140579,200000,FC Z FCrich U21,"Jun 15, 2011"
844,https://www.transfermarkt.com/julio-pleguezuelo/profil/spieler/251885,200000,RCD Mallorca,"Oct 27, 2016"
845,https://www.transfermarkt.com/julio-pleguezuelo/profil/spieler/251885,200000,RCD Mallorca,"Jan 24, 2017"
857,https://www.transfermarkt.com/jurgen-locadia/profil/spieler/166240,200000,PSV Eindhoven U21,"Jul 11, 2012"
962,https://www.transfermarkt.com/loris-karius/profil/spieler/85864,200000,1.FSV Mainz 05,"Sep 1, 2011"
963,https://www.transfermarkt.com/loris-karius/profil/spieler/85864,200000,1.FSV Mainz 05,"Jan 23, 2012"
