,club_reference,href,name_and_surname,position,market_value,date_of_birth,country
48,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/tosin-adarabioyo/profil/spieler/258878,Tosin Adarabioyo,Centre-Back, ,"Sep 24, 1997 (17)",England
49,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/cameron-humphreys/profil/spieler/277723,Cameron Humphreys,Centre-Back, ,"Aug 22, 1998 (16)",England
50,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/aleksandar-kolarov/profil/spieler/46156,Aleksandar Kolarov,Left-Back,€11.00m ,"Nov 10, 1985 (29)",Serbia
51,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/gael-clichy/profil/spieler/7449,Gaël Clichy,Left-Back,€9.00m ,"Jul 26, 1985 (29)",France
52,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/jesus-navas/profil/spieler/15956,Jesús Navas,Right-Back,€20.00m ,"Nov 21, 1985 (29)",Spain
53,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/pablo-zabaleta/profil/spieler/20007,Pablo Zabaleta,Right-Back,€14.00m ,"Jan 16, 1985 (30)",Argentina
54,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/bacary-sagna/profil/spieler/26764,Bacary Sagna,Right-Back,€7.00m ,"Feb 14, 1983 (32)",France
55,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/pablo-maffeo/profil/spieler/251876,Pablo Maffeo,Right-Back,€100Th. ,"Jul 12, 1997 (17)",Spain
56,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/fernandinho/profil/spieler/26267,Fernandinho,Defensive Midfield,€28.00m ,"May 4, 1985 (30)",Brazil
57,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/fernando-reges/profil/spieler/51174,Fernando Reges,Defensive Midfield,€16.00m ,"Jul 25, 1987 (27)",Brazil
58,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/george-evans/profil/spieler/181498,George Evans,Defensive Midfield,€500Th. ,"Dec 13, 1994 (20)",England
59,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/luke-brattan/profil/spieler/114365,Luke Brattan,Defensive Midfield,€500Th. ,"Mar 8, 1990 (25)",Australia
60,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/george-glendon/profil/spieler/201570,George Glendon,Defensive Midfield, ,"May 3, 1995 (20)",England
61,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/james-horsfield/profil/spieler/210202,James Horsfield,Defensive Midfield, ,"Nov 30, 1995 (19)",England
62,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/yaya-toure/profil/spieler/13091,Yaya Touré,Central Midfield,€20.00m ,"May 13, 1983 (32)",Cote d'Ivoire
63,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/fabian-delph/profil/spieler/50362,Fabian Delph,Central Midfield,€10.00m ,"Nov 21, 1989 (25)",England
64,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/aleix-garcia/profil/spieler/261504,Aleix García,Central Midfield, ,"Jun 28, 1997 (18)",Spain
65,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/angelino/profil/spieler/277179,Angeliño,Left Midfield, ,"Jan 4, 1997 (18)",Spain
66,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/kevin-de-bruyne/profil/spieler/88755,Kevin De Bruyne,Attacking Midfield,€60.00m ,"Jun 28, 1991 (24)",Belgium
67,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/david-silva/profil/spieler/35518,David Silva,Attacking Midfield,€33.00m ,"Jan 8, 1986 (29)",Spain
68,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/samir-nasri/profil/spieler/18935,Samir Nasri,Attacking Midfield,€21.00m ,"Jun 26, 1987 (28)",France
69,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/bersant-celina/profil/spieler/229695,Bersant Celina,Attacking Midfield, ,"Sep 9, 1996 (18)",Kosovo
70,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/manu-garcia/profil/spieler/277118,Manu García,Attacking Midfield, ,"Jan 2, 1998 (17)",Spain
71,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/raheem-sterling/profil/spieler/134425,Raheem Sterling,Left Winger,€45.00m ,"Dec 8, 1994 (20)",England
72,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/brandon-barker/profil/spieler/214927,Brandon Barker,Left Winger, ,"Oct 4, 1996 (18)",England
73,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/patrick-roberts/profil/spieler/225452,Patrick Roberts,Right Winger,€5.00m ,"Feb 5, 1997 (18)",England
74,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/sergio-aguero/profil/spieler/26399,Sergio Agüero,Centre-Forward,€60.00m ,"Jun 2, 1988 (27)",Argentina
75,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/wilfried-bony/profil/spieler/81808,Wilfried Bony,Centre-Forward,€23.00m ,"Dec 10, 1988 (26)",Cote d'Ivoire
